time,lane_id,density,entering_rate,exit_rate,vehicle_count,congested
8462.0,340_0,0.533347187291813,0,0,9,1
8463.0,-1597_0,0.491674398181529,0,3,9,1
8463.0,-162_0,0.534425532809552,1,0,22,1
8463.0,-1741_0,0.4702010109321735,0,0,8,1
8463.0,-1994_0,0.5118534482758621,0,0,19,1
8463.0,-873_0,0.3504672897196262,0,0,6,1
8463.0,1595_0,0.5376745260181007,2,4,14,1
8463.0,1606_0,0.5086038823429686,0,1,12,1
8463.0,1758_0,0.4672897196261683,1,1,8,1
8463.0,2158_0,0.5279041892143862,0,1,13,1
